Date,Open,High,Low,Close,Adj Close,Volume
31-Dec-24,2.3105,2.3315,2.2892,2.3206,2.3206,54430
30-Dec-24,2.2405,2.3173,2.2397,2.2995,2.2995,19299
27-Dec-24,2.2065,2.2564,2.199,2.2448,2.2448,17139
26-Dec-24,2.223,2.2494,2.1969,2.2053,2.2053,17639
24-Dec-24,2.2387,2.2498,2.2169,2.2215,2.2215,15731
23-Dec-24,2.2349,2.2618,2.212,2.2263,2.2263,30604
20-Dec-24,2.2315,2.2411,2.2003,2.2317,2.2317,36197
19-Dec-24,2.2438,2.2713,2.2285,2.2377,2.2377,28234
18-Dec-24,2.2324,2.2766,2.2275,2.255,2.255,40320
17-Dec-24,2.261,2.266,2.2075,2.2279,2.2279,43547
16-Dec-24,2.2719,2.2755,2.2506,2.264,2.264,45452
13-Dec-24,2.238,2.2755,2.2325,2.27,2.27,51688
12-Dec-24,2.229,2.2465,2.2004,2.2366,2.2366,56313
11-Dec-24,2.1819,2.2318,2.1805,2.2233,2.2233,59919
10-Dec-24,2.1792,2.2043,2.1667,2.1861,2.1861,56322
9-Dec-24,2.1305,2.1933,2.1285,2.1835,2.1835,58795
6-Dec-24,2.1589,2.1589,2.1226,2.1326,2.1326,58538
5-Dec-24,2.1709,2.189,2.1427,2.1557,2.1557,54403
4-Dec-24,2.2149,2.2331,2.1649,2.1674,2.1674,76152
3-Dec-24,2.1782,2.2319,2.1738,2.2177,2.2177,56652
2-Dec-24,2.2039,2.2278,2.1722,2.1777,2.1777,73098
29-Nov-24,2.2023,2.2358,2.1853,2.193,2.193,58751
27-Nov-24,2.239,2.2487,2.1899,2.2036,2.2036,19804
26-Nov-24,2.2425,2.2891,2.2197,2.2404,2.2404,25022
25-Nov-24,2.2831,2.2831,2.2155,2.2353,2.2353,30069
22-Nov-24,2.2707,2.2939,2.2468,2.2749,2.2749,35280
21-Nov-24,2.2314,2.278,2.2255,2.2744,2.2744,35285
20-Nov-24,2.237,2.249,2.2221,2.2263,2.2263,37252
19-Nov-24,2.2515,2.2754,2.2333,2.2402,2.2402,42955
18-Nov-24,2.169,2.26,2.1665,2.2514,2.2514,46988
15-Nov-24,2.2104,2.2192,2.1692,2.1709,2.1709,47711
14-Nov-24,2.2149,2.2462,2.1992,2.2123,2.2123,46163
13-Nov-24,2.2066,2.2377,2.1731,2.2193,2.2193,56233
12-Nov-24,2.1989,2.2357,2.1879,2.2108,2.2108,58730
11-Nov-24,2.2405,2.2475,2.1896,2.1976,2.1976,50965
8-Nov-24,2.2796,2.2826,2.2252,2.2389,2.2389,51613
7-Nov-24,2.2661,2.2966,2.2352,2.2864,2.2864,60299
6-Nov-24,2.2988,2.3124,2.2416,2.27,2.27,66812
5-Nov-24,2.2817,2.3221,2.2772,2.3042,2.3042,50473
4-Nov-24,2.2457,2.299,2.2457,2.2841,2.2841,45409
1-Nov-24,2.2649,2.29,2.2254,2.2342,2.2342,57122
31-Oct-24,2.2022,2.2285,2.1981,2.2195,2.2195,74629
30-Oct-24,2.1395,2.2063,2.1387,2.1876,2.1876,15003
29-Oct-24,2.1381,2.1514,2.1062,2.1337,2.1337,18703
28-Oct-24,2.2023,2.2023,2.1265,2.1286,2.1286,24172
25-Oct-24,2.2119,2.2521,2.1976,2.2381,2.2381,24237
24-Oct-24,2.2265,2.2591,2.1964,2.2023,2.2023,26825
23-Oct-24,2.2324,2.2413,2.2025,2.2216,2.2216,22594
22-Oct-24,2.1763,2.245,2.1707,2.237,2.237,26981
21-Oct-24,2.1589,2.1935,2.1478,2.1833,2.1833,32661
18-Oct-24,2.1873,2.2067,2.1475,2.1522,2.1522,41990
17-Oct-24,2.1783,2.1997,2.1568,2.1945,2.1945,40991
16-Oct-24,2.194,2.2027,2.1558,2.1747,2.1747,33021
15-Oct-24,2.219,2.2329,2.17,2.1877,2.1877,52209
14-Oct-24,2.335,2.3405,2.2213,2.2742,2.2742,43743
11-Oct-24,2.3491,2.3649,2.3125,2.3439,2.3439,48597
10-Oct-24,2.2832,2.3599,2.277,2.3509,2.3509,45264
