granule_id,us_url,product,location,split,granuleSize,lst_day_1km_min,lst_day_1km_max,lst_day_1km_mean,qc_day_min,qc_day_max,qc_day_mean,day_view_time_min,day_view_time_max,day_view_time_mean,day_view_angl_min,day_view_angl_max,day_view_angl_mean,lst_night_1km_min,lst_night_1km_max,lst_night_1km_mean,qc_night_min,qc_night_max,qc_night_mean,night_view_time_min,night_view_time_max,night_view_time_mean,night_view_angl_min,night_view_angl_max,night_view_angl_mean,emis_31_min,emis_31_max,emis_31_mean,emis_32_min,emis_32_max,emis_32_mean,clear_sky_days_min,clear_sky_days_max,clear_sky_days_mean,clear_sky_nights_min,clear_sky_nights_max,clear_sky_nights_mean
MOD11A2.A2025057.h11v05.061.2025066040222.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025057.h11v05.061.2025066040222/MOD11A2.A2025057.h11v05.061.2025066040222.hdf,modis,northeast,train,5687879,13215.0,14909.0,14233.141216329808,2.0,145.0,14.274337554358848,90.0,255.0,162.4742625,1.0,255.0,142.69322559206884,13175.0,14448.0,13845.444214757863,2.0,161.0,10.984455161622838,201.0,255.0,228.87732569444444,1.0,255.0,142.37378280742837,240.0,251.0,246.01894047695458,240.0,249.0,247.5218889128773,1.0,255.0,78.11923730713191,1.0,255.0,90.74659137200706
MOD11A2.A2025057.h11v04.061.2025066040453.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025057.h11v04.061.2025066040453/MOD11A2.A2025057.h11v04.061.2025066040453.hdf,modis,northeast,train,9134100,12439.0,14480.0,13730.95594418355,2.0,177.0,52.759284303653125,91.0,255.0,114.42880208333334,1.0,255.0,92.37985809770923,12200.0,14413.0,13402.2430917089,2.0,177.0,55.11634999477834,198.0,255.0,211.38426875,1.0,255.0,72.48124818565553,240.0,252.0,247.41387372516152,239.0,250.0,248.18978883408553,1.0,255.0,55.78909051699437,1.0,255.0,57.361131713072034
MOD11A2.A2025113.h13v04.061.2025125151119.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025113.h13v04.061.2025125151119/MOD11A2.A2025113.h13v04.061.2025125151119.hdf,modis,northeast,train,4113599,12785.0,14909.0,14185.6542099632,2.0,145.0,13.170224528129971,90.0,255.0,201.9163472222222,1.0,255.0,188.87193606004544,12672.0,14299.0,13683.7702152183,2.0,145.0,12.671067638620508,197.0,255.0,240.46369444444446,1.0,255.0,195.57889396139845,240.0,252.0,246.47692280524822,241.0,250.0,247.35127408718378,1.0,247.0,88.32680305412809,1.0,247.0,58.956850354060265
MOD11A2.A2025113.h12v05.061.2025125151656.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025113.h12v05.061.2025125151656/MOD11A2.A2025113.h12v05.061.2025125151656.hdf,modis,northeast,train,1532441,14169.0,15340.0,14767.663602301345,2.0,145.0,3.3859114101097134,90.0,255.0,249.79897222222223,1.0,255.0,249.34318799718054,13630.0,14634.0,14187.54869636625,2.0,145.0,3.747304883519074,201.0,255.0,253.47467083333333,1.0,255.0,248.55571273213639,240.0,251.0,246.02335856003273,240.0,249.0,247.33432194722846,1.0,254.0,191.62154747036303,2.0,178.0,86.2131595154999
MOD11A2.A2025113.h11v04.061.2025125151312.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025113.h11v04.061.2025125151312/MOD11A2.A2025113.h11v04.061.2025125151312.hdf,modis,northeast,train,8371753,13362.0,15601.0,14525.358490223514,2.0,145.0,64.3861253127539,90.0,255.0,100.86239583333334,1.0,255.0,66.80182625126822,13314.0,14735.0,13845.671149375425,2.0,145.0,65.90542681983342,200.0,255.0,209.88117847222222,1.0,255.0,71.98518172834466,240.0,251.0,246.8699332430092,242.0,250.0,247.82295543260793,1.0,255.0,100.91900430941789,1.0,255.0,137.5246236137529
MOD11A2.A2025113.h12v04.061.2025125151550.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025113.h12v04.061.2025125151550/MOD11A2.A2025113.h12v04.061.2025125151550.hdf,modis,northeast,train,7660686,13025.0,15254.0,14238.266337886153,2.0,145.0,40.776036103915274,90.0,255.0,121.26610625,1.0,255.0,94.79500026391895,12826.0,14550.0,13808.053137139588,2.0,145.0,35.437957078954845,199.0,255.0,215.03729166666668,1.0,255.0,90.01823613643907,240.0,252.0,247.00126479672966,241.0,250.0,247.4615235311852,1.0,252.0,115.2218498396072,1.0,254.0,76.85478702336802
MOD11A2.A2025113.h11v05.061.2025125151349.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025113.h11v05.061.2025125151349/MOD11A2.A2025113.h11v05.061.2025125151349.hdf,modis,northeast,train,5528585,13873.0,15534.0,14810.097950682599,2.0,145.0,16.796573209138998,90.0,255.0,162.85072916666667,1.0,255.0,149.77249993402694,13549.0,14844.0,14368.46263111056,2.0,145.0,21.766677872907177,201.0,255.0,229.4771513888889,1.0,255.0,148.60752924961758,240.0,251.0,246.0878453380458,240.0,249.0,247.55777821094787,1.0,255.0,132.43336444029686,1.0,252.0,113.57576810325135
MOD11A2.A2025105.h11v05.061.2025114041528.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025105.h11v05.061.2025114041528/MOD11A2.A2025105.h11v05.061.2025114041528.hdf,modis,northeast,train,5404832,13929.0,15386.0,14697.51536081968,2.0,145.0,14.37888707956651,90.0,255.0,162.7301798611111,1.0,255.0,147.664721519673,13353.0,14759.0,14162.616505421036,2.0,145.0,16.199523805699876,201.0,255.0,229.36535416666666,1.0,255.0,148.13075800210555,240.0,251.0,246.098301021861,240.0,249.0,247.55078495170784,1.0,255.0,65.46166634321536,1.0,228.0,44.935818933243716
MOD11A2.A2025105.h12v04.061.2025114041743.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025105.h12v04.061.2025114041743/MOD11A2.A2025105.h12v04.061.2025114041743.hdf,modis,northeast,train,7997447,13131.0,15021.0,13990.72949762499,2.0,145.0,44.42983593168634,90.0,255.0,121.4753375,1.0,255.0,91.48365844224116,12731.0,14632.0,13608.889216435446,2.0,145.0,44.23803478375155,197.0,255.0,216.80226875,1.0,255.0,100.55435289869163,240.0,252.0,247.30042402112707,241.0,250.0,247.55704870474236,1.0,253.0,78.99601722888656,1.0,255.0,66.14241791471711
MOD11A2.A2025105.h11v04.061.2025114042627.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2025105.h11v04.061.2025114042627/MOD11A2.A2025105.h11v04.061.2025114042627.hdf,modis,northeast,train,8348917,12636.0,15258.0,14376.071494734073,2.0,145.0,63.9260995688661,90.0,255.0,101.35089513888889,1.0,255.0,67.79184615373931,13195.0,14722.0,13690.824372979005,2.0,145.0,62.36654088399323,197.0,255.0,210.35615069444444,1.0,255.0,75.692381465622,240.0,252.0,246.92393584699946,242.0,250.0,247.88659891180177,1.0,255.0,99.54318591723113,1.0,255.0,95.41691111997365
